,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
330,23054,05,06,09,10,15,26,12
331,23053,01,07,14,20,27,30,15
332,23052,03,04,05,08,12,17,06
333,23051,22,26,29,30,32,33,14
334,23050,02,07,09,14,22,23,05
335,23049,05,07,14,23,25,27,02
336,23048,02,03,10,24,28,30,08
337,23047,05,07,14,23,31,33,07
338,23046,06,08,17,25,26,28,03
339,23045,03,06,12,21,27,28,04
340,23044,02,08,15,22,24,26,16
341,23043,05,08,12,20,24,28,10
342,23042,10,17,20,23,27,30,10
343,23041,01,06,12,13,15,24,06
344,23040,09,16,17,24,29,31,08
345,23039,02,03,09,13,19,28,09
346,23038,02,09,14,17,31,33,08
347,23037,08,23,25,26,29,31,12
348,23036,13,14,18,19,24,30,09
349,23035,01,04,09,10,20,33,06
350,23034,02,03,09,11,12,17,15
351,23033,08,09,13,23,24,26,05
352,23032,06,19,20,26,28,33,01
353,23031,07,14,27,29,31,33,05
354,23030,02,03,07,16,30,31,06
355,23029,03,07,12,24,28,33,08
356,23028,05,07,10,17,20,22,14
357,23027,08,10,22,27,32,33,08
358,23026,01,18,26,30,31,33,03
359,23025,04,16,20,21,31,32,14
360,23024,03,06,09,17,27,28,03
361,23023,05,08,10,15,24,25,09
362,23022,10,11,18,19,23,31,03
363,23021,02,05,06,19,21,27,04
364,23020,01,12,17,18,26,27,05
365,23019,06,12,26,28,29,32,15
366,23018,10,12,17,19,25,31,13
367,23017,05,11,18,20,26,28,12
368,23016,14,16,19,23,28,30,03
369,23015,02,03,14,21,29,32,08
370,23014,06,07,18,23,27,30,05
371,23013,06,10,14,22,23,33,13
372,23012,03,04,07,22,26,30,06
373,23011,06,07,16,17,21,22,04
374,23010,04,05,13,18,27,29,12
375,23009,03,04,19,23,30,32,06
376,23008,05,13,18,20,26,28,06
377,23007,05,06,09,22,25,31,03
378,23006,02,10,12,14,24,26,05
379,23005,02,06,08,13,14,19,16
380,23004,01,07,15,16,20,25,16
381,23003,05,08,18,25,30,32,06
382,23002,02,06,10,16,18,22,13
383,23001,09,16,18,22,28,32,02
384,22150,01,07,11,12,22,28,05
385,22149,02,22,26,29,32,33,14
386,22148,02,15,16,17,21,31,14
387,22147,02,03,07,13,20,30,10
388,22146,06,07,13,18,26,31,06
389,22145,03,21,25,30,31,33,11
390,22144,07,20,22,23,31,32,05
391,22143,07,08,13,29,30,33,03
392,22142,01,03,13,16,21,27,03
393,22141,05,12,13,17,20,27,14
